id,title,content,label
88,"The Best Hotel in Sentosa ","I stayed in this hotel with my 2 kids (age 10 and 8) and hubby. All of us were having a splendid time. We love everything about this hotel. Youll fall in love with everything here, starting from the room size, the cleanliness, the design, the friendly staff, the service, the facilities, the location..... everything. 
If you are planning to stay in sentosa island, this hotel is the best choice!!!","Facilities & Services"
89,"Best Sentosa Hotel !!!","Spoiled yourself with its garden suite !!",General
90,"Equarius Hotel ","The room is spacious, staff are friendly.Bathroom is very big but no bathtub :-( ",Room
91,"Tranquility ","Second time here, everything was good except for the check in, as usual slow.",General
92,"Very caring and sincere staff of the hotelz","Im on a staycation with my whole Family including my 80years old mother. Each and every one of the hotel staff took care of us. Deeply touched with the sincere helped of the front office staff and the concierge like Cheryl, Elaine, Syed Adam, Kumar, Clearence and many others. Thank you Thank you",General
93,"Staycation and birthday celebration for my son","This is my 5th time at Equarius. Love the hotel and everything, very much quiet as it is located at the end of RWS area. The check-in and check-out was smooth and the staffs are all friendly and very helpful. They cater to my needs and since I wanted to surprise my son to celebrate his birthday, we went out for a swim in the evening. When we came back, we found out that there is a birthday cake and fruits on the table given by Equarius. My son was very happy and surprised. Thank you so much Equarius and the helpful, friendly staffs for the sweet surprise and the wonderful staycation provided for us. We will surely come back again.",Location
94,"Spacious, value for money","Love the spacious room. TV looks small watching from the sofa. Big bath tub. Bed is comfortable too. Need to get on complimentary shuttle to get to hotel. ",Location
95,"Good but...","Check in can be a lot quicker. Does not have free wifi, need to buy package. But everything else was very good. ","Facilities & Services"
96,great,"great hotel",General
97,"Nice ","Nice place .Just A little Far to Shops . ",Location
98,"great for families or solo travellers that just wants a quiet place","away from the busy areas. Nice and quiet",General
99,"Good Hotel","Good location",Location
100,"far away from resto","located in a residential area and offices with almost no choice for resto.near bus stop.",Location
101,"Car park available","If you drive to Spore this hotel ok.But taking public transport abit difficult. Either go by cab or bus to Vivo city to go to MRT",Location
102,"Clean hotel, spacious room ","Roombathroom are very spacious by Singaporean standards. Big bay windows provide good natural lighting.Room well equipped. Receptionists were helpfulknowledgeable on tourist sites, bus routeson how to get around. Close to Sentosa and VivoCity, Harbour Front. Only setback was no free breakfast provided on Sundays despite online booking indicated it will be provided. However staff made up for it by allowing slightly later checkout time which allowed me to see more of Singapore during that time.",Room
103,"Small room hotel","Room very small, far away and not walking distance to town although located in China town region,",Room
104,"Very small room ","Location are far from town, not within walking distance, Room extremely small.Staffs are helpful.",Room
105,"
                                        ","Choices at breakfast was very limited.",General
106,"Dont book here.","Sure, its not as expensive as other hotel, but you sure get what you paid for. The room is small. The toilet bowl is too small. So unless your petite and sexy go ahead book here. Instead of staying till check out time we decided to leave as early as 8am. By the way dont forget to indicate no breakfast on sunday. So even if u pay with breakfast its useless. Save it ride a bus to chinatown.at least theresbus nearby. Employees are rude and inconsiderate. You even have to carry your own luggage. This is a not a hotel but an apartelle. Misleading name. And the place was creepy.If u want cheap, and a stay without any service or customer service go ahead! ",General
107,"its my third time coming back.. will definitely be back for good","as long u have transportation shouldnt be a problem choosing this hotel.
its clean n neat.. free parking.. near to vivo (via car just 5min away).. ","Facilities & Services"
108,"Good hotel","Pros:
near sentosa/resorts world/universal studio
near vivocity mall
staffs are friendly kababayan pinoy! :D
with free use of cp with data
outram is the nearest station MRT

cons:
limited time to offer foods (they offer breakfast only)
bed not that comfortable
rooms are not that sound proof
facilities just good like gym and laundry",Location
109,"Overall had a good experience","Near bus stop. Friendly staff. Room was small but clean. Good experience overall.",Location
110,"Location is the issue","Reachable by bus from Chinatown but not really walkable from anywhere. Room is okay-sized and clean enough. Only budget hotel I found that I was sure allowed smoking.",Location
111,"nice service, but facilities ",-,General
112,"Clean, Neat and Near Bus Stations","I can say that the hotel is neat and clean. You always find the room tidied up once you come back to your room from a days activity in Singapore. Another plus is that it is near bus stations that can bring you to Downtown Core, Chinatown, Harbourfront and many other destinations. Vivo is just 20 mins by foot, and less than 5 mins by bus. 

I WILL RECOMMEND THIS HOTEL TO ANYONE.",Location
113,goooooooooooooooooooooooood!!,goooooooooooooooooooooooood!!,General
114,"Vivo city 15 mins walk away","Close to vivo city landmark and the hotel located at a quite street. Very good place to enjoy the quiteness at night.",Location
115,"good hotel","near universal studios 10mins drive. breakfast was abit disappointing. room was ok. parking space is small. has free wifi and free calls :)",Location
116,"Will not recommend to friend","Bus station is near convenient by using taxi or bus
Room are disappointed , air conditioning not cold we hv to request change room , bed smelly , old building feeling like 1 night stand hostel ",Location
117,"I will return to this hotel for sure!","The hotel is nice,the staff accommodating. I will return to this hotel for the main reason that it has nice big windows in the rooms.This is very important to me to have windows that open!! ( many hotels in Singapore have windows that dont open and it drives me crazy)only thing I didnt love about the hotel was the breakfast.If you are staying for just a couple of days then the breakfast is totally fine.If you are there for a week or longer.... you start to wish that they changed the menu from time to time.",Location
118,Clean,"Clean, not bad",General
119,"Old hotel, but affordable, clean and comfortable.",.,General
120,"Good location ","Not bad. ",General
121,"nice and comfortable","Very friendly and accommodating staff,the wifi phone isnt working. But super easy near bus stop","Facilities & Services"
122,"Normal ","Do not really recommend here unless you are looking for a one night stand hotel.",General
123,"It is clean room and good location ","cleanlinessand comfortable location",Location
124,good,good,General
125,"Value for money","Probably it is the most value for money hotel you could find it near Sentosa area.",General
126,"Room too small","Bo complimentary drink and room too small.","Facilities & Services"
127,"If you carry your food - It's 5 star","Carry your food
You will save on water , taxi",General
128,"Accomodating staff ","The place is a walking distance to one of the train stations. There is a bus stop near the hotel too.",Location
129,comfy,"its comfy but hard to find taxi",Location
130,Nil,Nil,General
131,"Good deal","Good deal",General
132,"Good Location",Quite,General
133,"3 DAY STAY","Welcomed on arrival room was available for us at 11:00 am as per our request.2 bus stopsfrom MRT Outram and Harbour View. 
No shopping centres close by - 20 minute walk. Air conditioning excellent.",Room
134,"Inconvenient location and bad attitude of cleaning staff","Cant really see any pros.
The location near to RWS but too far to walk there and would rather look for cheaper or better budget hotel out of that area.
Cleaning staff show face of distrust and questioning us when we claimed that there is no towel in the room.
Bed is smelly.","Facilities & Services"
135,Location,"Near sentosa n city area. Inexpensive n not much facilities around here",Location
136,Nice,Ok,General
137,"Good for money","Pleasant and up assisting staff","Facilities & Services"
138,"Good location","to upgrade the hotel",General
139,"Good location","Good location if you need to go to SGH often.",Location
140,Good,"Good location ",Location
141,Good,"It is nice place with nice staffs.","Facilities & Services"
142,"total value for money","they provided us phone with free calling to india and to travel locally.

I think, they can improve in cleanliness as the room was smelling of cleaning products.","Facilities & Services"
143,"Not Bad!","Good Location",Location
144,"Value for money ","Cozy place to stay ",Room
145,"good location, quick service, comfortable room","good location, quick service, comfortable room",Location
146,"Lovely ",lovely,General
147,"My thots","Okay for very short stay, not recommended ...",General
148,"Late review for year 2012","We booked this hotel year 2012. One of the budget hotel near to Sentosa. Since its cheap, we didnt expect much from it.",General
149,"Simple basic room that is good for resting","The hotel is near to the main city area and also to Sentosa. However, public transport option is pretty limited so you will have to take a bus to change to the subway if you want to go anywhere besides Sentosa. Good thing about the relatively isolated location is that it is fairly quiet apart from the occasional noise from other hotel guests if they chat loudly in the corridors. Room is clean and comfortable. There was a smartphone provided that can be handy to provide an internet access when you go out. There is nothing much in the hotel so it might not be ideal if you dont intend to go out. If you just need a quiet and cheap place to rest well after your time around the city, this is a great deal",Location
150,"Decent hotel in a good location","Hotel is located in a rather central location which is only 3 bus stops away from the Vivocity shopping centre. Area is very quiet at night and no shops nearby if you are hungry. 

Room is basic but staff are friendly. Good for solo travellers who need to stay in that area. Prices are okay given the location. ",Location
151,-,-,General
152,"Nice and cheap hotel","Its a nice hotel and nearer to sentosa but when we arrive there the room was a bit smelly, i dont know where it came from, i checked the bedsheets and all but all has been changed..but the smell didnt last.it was gone when we open the aircon,the aircon also was a little bit not cold.overall it was a satisfaction",Location
153,"   F",T,General
154,Good,Nice,General
155,"Excellent location just a bus away from Vivo City","If you plan many activities at Sentosa choose this hotel it is the nearest and affordable hotel near Vivo City where you can have a mono rail to Sentosa ",Location
156,"Couldn't swing a cat. ","The photos on the website do not represent accurately the size or quality of the rooms. Dirty, outdated, bed like a cardboard box. Toilet is literally in the shower. Be prepared to eat in a mosquito infested back garden. ",Room
157,"Singapore Escapade","Very satisfied with our trip... ",General
158,"Good Hotel","I have spend 2 night at here, price quite cheap if book early include breakfast(buffet). Room have window. Staff is very lovely. Near MRT NE1. Near bus stop. Catch bus no 61 for 2 way. Near church, Vivo city and Sentonapark. Have handy smart phone (unlucky that I have no chance to use)for each room. Place very quiet. I will return this hotel in next trip. ",Location
159,"Budget and Value for Money","Convenient and budgeted hotel to the Sentosa Convention Centre.",General
160,"High cost performance","Good pointHigh cost performanceSmoking roomBad pointYou need to walk more than 10 min. to buy something. You shall prepare something to eat and drink before going to hotel. There were 2 plastic cups in bathroom. Inside was very dirty. Please take care if you stay. ",General
161,"Quite, clean and comfortable ","A good place for relax after hanging around forwhole day.Very quite,butbit inconvenience.Accessible by bus. A small hotel, but facilities are good.Impressed...a complement with handphone provided. ","Facilities & Services"
162,"a few negative points, which are not of great concern, taking into account the best position and qui",";) ",General
163,"Room ","Room too small but the place is near to Sentosa ",Room
164,Vacation,"Singapore vacation",General
165,"Spacious hotel in Singapore","The room provided is spacious and with breakfast",Room
166,"Lone traveller","Very disappointed indeed",General
167,"Business Trip","Good for people for business traveling.. location bit far from city centre but still manageable by MRT",Location
168,"Uncomfortable room, smelly room","Our room was very smelly (cigarette smell), AC was dirty, glass was not clean (spotting lipstick)","Facilities & Services"
169,"Good Location ","Good Location",Location
170,gooood,"its good service, cheap and clean","Facilities & Services"
171,"Good hotel need some improvement","They have handy phone which is quite useful, yet it cant tether to other phone","Facilities & Services"
172,"Value For Money","Convenient, good location to the Sentosa Island and good for value hotel. Satisfied with facilities given. ",Location
173,"Good, Economical and Good Location Hotel","Clean, good location and value for money. Will come to stay again next time. Keep up your standard.",Location
174,"Good family holiday  hotel","Location good for Sentosa, bird park and zoo,and cheap and quick to Chinatown and Clarke quay by bus or taxi. Not an Orchard Road shopping hotel!!!",Location
175,good,"I give pt 7",General
176,"Great service!","Staffs provide great service and friendliness...","Facilities & Services"
177,"Housekeeper or boss?","One of the housekeeping staff on the 8th floor was rude and disrespectful.","Facilities & Services"
178,"Free use of Handy Phone","I am really amazed that they have a free use of handy phone per room, that we can call to selected Asian countries unlimited... I will definitely recommend this hotel!","Facilities & Services"
179,"Omg ","The alarm suddenly rang in mid night without any happened.",General
180,"GOOD !","Good LocationHelpful Staff...","Facilities & Services"
181,"Very near Sentosa","The hotel is very near Sentosa so that works for us. Its also near a shopping mall, Vivo City. Generally, we had a pleasant stay. The staff was very helpful, esp. Rowena. 

Suggestion: have the lights of the hotel name outside fixed. It makes the hotel unappealing when in fact, its a good, small hotel.",Location
182,"Good location ","overall good exprience with the stay but location is abit out of the way as you need to take bus to town and train station. ",Location
183,Decent,"Not in the best location but there is public bus to chinatown little india sentosa vivocity within 10minutes.","Facilities & Services"
184,"Little out of the way","This Hotel was a littlebit further out of the way than we were lead to believe , it was clean enough but the rooms are a lot smaller than their web page suggests, didnt really see any staff, but quiet hotel.",Location
185,Satisfactory,"Better room this time","Facilities & Services"
186,"Holiday in singapore","All is good but some room too small and noise.",Room
187,"Just for sleep....","The reason to stay here just because it near to vivo city. Nothing else...room is not clean enough, and very very small...Next time will consider others nearby location. ",Location
188,"Just normal hotel with minimum facility","We went by car, so I expect there have enough parking lot, unfortunately, parking lot is limited, thus we must come back from outside early, otherwise we have no more parking space. Room is very small, but it expected. For budgetary purpose, I will consider to stay back here again","Facilities & Services"
189,"Quite ok for a night stay","The stay was quite satisfactory. But valuing the pricing for the stay can say that I was on the higher end. And no free breakfast also for such high price.",General
190,"Value for money","Overall pleasant hotel to stay",General
191,"Run down and no food in sight","First time in my life that Ive ever been to a hotel where no bottled water is provided! There are two reusable bottles which Im supposed to fill myself on the 5th floor. Yuks, what if the last person peed into the bottles, how do I know they are clean. These bottles are narrow and not the type you could clean yourself. How foolish to make your guests suffer like this.

The fridge was dirty, the cupboard creaked and the door could have come off anytime. 

Theres no food place you can walk. Its just an isolated hotel. Sure its ok if you want to take a bus to Vivo or Chinatown, but thats a trip in itself.

Mike the cleaner was nice and helpful though. Reception was alright too.

But I wouldnt return anytime soon. I just didnt have a sense of comfort in the room.","Facilities & Services"
192,"average hotel","limited parking space,room not in order upon checking in.not recommended","Facilities & Services"
193,Good,Good,General
194,Good,"No more",General
195,"Comfortable and Nice Location","Comfortable and Nice Location",Location
196,"First night was an aweful rooms . Spoiled aircon and bed bugs.","I did up grad my room but when check in , we got an old noisy room with aircon not working. Was very hot! Also we got bed bugs. We manage to get another room next day which is better . Breakfast was not great either. ","Facilities & Services"
197,bad,bad,General
198,"Convenient ","The The Hotel is convenient to in terms of FoodTransportation, great for Business Trip",General
199,"Great Location","Great Location, near Train station",Location
200,"Good Value Hotel","so for singapore, you get this hotel on good value i guess, bec they complete with all bathrooms ameneties and also provide towel as well.

even i get the smoking room, my room clean enough and no smoke nor cigarette smells.

and also near to lavender MRT ststions, so easy to get anywhere you want in singapore.","Facilities & Services"
201,Caution,"Be aware....this hotel is notorious as a venue for soirees of the unsavoury kind. ",Location
202,"Room is not standarize","I have booked 2 rooms and both room i have selected the same category but in the end i got 2 rooms with different size.",Room
203,"back again","Great location and cheap but nice",Location
204,Lavender...,"1. Need to request for daily house keeping. should be automatic to staff.
2. Location was excellent. very nearby food establishments and MRT
","Facilities & Services"
205,"Convenient Place to everywhere in Singapore","Frangrance Hotel is one of the welllknown franchise hotel in Singapore, you may need to tell taxi driver where is Frangrance Hotel - Lavender, only they will know where excatly you are staying.

It doesnt that hard to use Bus to travel around Singapore, but, before you get into a bus, make sure you have the EZ-Link Card with you, busses are not accepting cash.

If you are not comfortable with Bus, MRT is just 3mins from the hotel, and on the way from Hotel to MRT, there are convenient storesFood Court.

Quite a stategic location.",Location
206,"Unfriendly Staff","Receptionist staff is not friendly","Facilities & Services"
207,"Recent review","1-good location,easy to access MRT, FOOD COURT , convenient stores
2-staffs are lack of customers interest , 
3-rooms are too small
4-room facilities are awful too. ",Location
208,"Good Budget OptionWere Nice.","Enjoyed my 3 night stay. Less than 5 minute walk from Lavender MRT Station. Forgot my travel adaptor and staffmember quickly organised one for me to borrow for my entire stay. Yes room was quite small, was ok for me as a solo traveller but if you have 2 large suitcases be warned there is limited room to place in room. Also, if you are expecting 3-4 star accomodation I would suggest you pay extra and try somewhere else..! For the price I think its a great, clean budget option. Wi Fi was a little slow at times but not so much as to bother me. ",Location
209,"Value for money ","This is more of a boutique hotel . The price is very good for the location and rooms although somewhat small but its very clean and cosy. ",Location
210,"Pleasant and hassle free stay","For the price I paid, Fragrance provided for a clean, hassle-free and undisturbed rest from an action filled day of touring SG.The only fail point was that he didnt have housekeeping staff after 10pm to the morning. Bathroom is a little small too, clean though and with hot water.","Facilities & Services"
211,"singapore adventure",,General
212,"the water at sink is leaking, very small room",,"Facilities & Services"
213,"Just so so","Stay for 3 nights. Everything just so so.
Small room like other budget hotel, bed and pillow not really comfort, but it was okay. Shower room/toilet not really good, bad smells for a day.
Near MRT, Bus Stop, minimarket. 
Beware other Fragrance Hotel here, there are 2 Fragrance Hotel in Lavender area.","Facilities & Services"
